yom_03034_01418840084	Ẹ máa sọ̀rọ̀ yín lọ.
yom_04310_01581232845	Àwa la ó máa wá, ẹ̀yin la ó máa bá.
yom_02436_00889863484	Alágídí l’ọmọ náà, ó fi jọ ẹ̀gbọ́n rẹ̀ ni.
yom_02121_00137890896	Isaiah àti Arógunyọ̀ ń fẹ́ obìnrin kannáà.
yom_03034_00406378535	Mo fẹ́ mu àgbo jẹ̀díjẹ̀dí.
yom_07049_00139563981	Ìyá àgbà fi ògùsọ̀ dáná.
yom_08421_00831872975	Mo dúpẹ́ lọ́wọ́ olúwa fún gbogbo iṣẹ́ rere rẹ̀.
yom_04310_00224640928	A jeun nínú àwo kanáà fún ìgbà àkọ́kọ́.
yom_08421_01471313862	Bí àwọn dókítà mìíràn ṣe máa ń bá’ni sọ̀rọ̀ kò daa rárá.
yom_08784_00515252578	Mo ti sùn lé ọrùn mi.
yom_02436_01194726021	Iṣan apá rẹ̀ ti já.
yom_08421_01007218935	Ta ló ń lọ fún ìdíje náà?
yom_04310_00934704293	Ẹni tó bá lówó lọ́wọ́ kó ṣe bí ẹni tí ò ní.
yom_04310_01478059469	Koríko ni ewúré máa ń jẹ.
yom_02121_01420882609	Ó fi ipá báa lò pọ̀ lánàá.
yom_06136_00578784597	Ìfẹ́ wá mi wá sílé ṣùgbọ́n mo ti lọ ìrìn àjò nígbà náà.
yom_03397_00065684393	Iṣẹ́ atọ́kóṣẹ̀ ni Kòtún kọ́.
yom_04310_00451919045	Mo rántí ijọ́ tí ọmọ náà na ẹ̀gbọ́n rẹ̀ pa.
yom_07505_01422865584	Ṣé kò f’ara pa púpọ̀?
yom_01208_00915651858	Ṣé mò ti ṣe oun tí o fẹ́?
yom_04310_01758552797	Akọ̀wé Ẹgbẹ́ ni Tẹ̀là.
yom_02484_02124275391	Jẹ kin sìn ọ́ dé ojú ọ̀nà díẹ̀.
yom_09334_01974111425	Kúnlé ti lọ ra àgádàgodo wá.
yom_02484_00760491974	Ọlọ́runyọmí ló tan Ìwàlọlá jẹ.
yom_08784_01161043078	Mo ò tí ì dé Àbújá rí.
yom_01208_00010936322	Ẹniafẹ́ ti parí ilé ìwé gíga.
yom_02484_01050275125	Iṣẹ́ ìran dé ìran ni iṣẹ́ ọdẹ́ jẹ́.
yom_00295_00543855072	Ìfẹ́lódùn lorúkọ ẹgbẹ́ náà.
yom_08421_01980727509	Èdùmàrè á fún mi l’áya rere.
yom_08784_00403277753	Akẹ́kọ̀ọ́ ilé ìwé girama ni Ọládiípọ̀.
yom_02121_00708252982	Tàlàbí ti ga jù.
yom_06136_01531486951	Àwọn ènìyàn kìí sábà fi àrò dáná mọ́.
yom_04310_01552778313	Ikú gbígbóná ni Ikú tí Akíntọ́lá kú.
yom_02121_01719185423	Ká má tètè kú lawo ìbànújẹ́.
yom_01208_00808346730	Ọ̀pọ̀lọpọ̀ ọmọdé fẹ́ràn patí.
yom_04310_01804139119	Gbogbo ara ni mo fi kí ẹ jàre, àbúrò mi.
yom_02436_01020115343	Ojú mi rí kí n tó ni gbogbo dúkìá yìí.
yom_03034_00105438646	Ẹ fi ṣàkì mẹ́ta sórí ìrẹsì àkọ́kọ́.
yom_06136_00742549179	Ìrẹsì àti ẹja ni èmi àti Élújọbí jẹ ní òwúrọ òní.
yom_07049_00404981893	Ẹsẹ̀ àga náà ti kạ́n.
yom_07508_00738689089	Mò ń lọ sí ilé Ìya Ṣọlá.
yom_03034_02001897562	Kí lẹ ṣe ní kílàsì lénìí?
yom_08421_01105719994	Ọgbà àjárá ni ó yí ilé náà ká.
yom_07505_01331061060	Ilé ìjọsìn wa ni tósìn ti kọ́ dùrù títẹ̀.
yom_04310_00136067945	Ìjà bẹ́ sílè láàárín Pópóọlá àti Àlùfá mọ́sálásí wọn.
yom_00610_01571797236	Olú Owólabí ló ko Ìwé ìtàn-àròsọ Ìjà Ọ̀rẹ̀.
yom_02121_00000125239	Ìyá àgbà ti s’olóògbé.
yom_09334_01138071764	Bí ọmọ yìí ṣe máa ń sọ̀rọ̀ máa ń múmi lọ́kàn.
